MATCH_ID,MAP,TOURNAMENT,TEAM,SIDE,SCORE,RESULT,DURATION,HERO_1,HERO_2,HERO_3,HERO_4,HERO_5
88,1,DPC 2022 Spring Tour - China Division 1,Vici Gaming,dire,22,WIN,43:37,Chaos Knight,Lina,Enchantress,Hoodwink,Dragon Knight
88,1,DPC 2022 Spring Tour - China Division 1,Team MagMa,radiant,12,LOSE,43:37,Centaur Warrunner,Monkey King,Mirana,Abaddon,Death Prophet
88,2,DPC 2022 Spring Tour - China Division 1,Vici Gaming,dire,38,WIN,33:38,Tiny,Invoker,Earth Spirit,Death Prophet,Bane
88,2,DPC 2022 Spring Tour - China Division 1,Team MagMa,radiant,16,LOSE,33:38,Phantom Assassin,Shadow Demon,Jakiro,Queen of Pain,Pangolier
89,1,ESL One Malaysia 2022,Fnatic,dire,17,LOSE,36:38,Sniper,Mars,Omniknight,Storm Spirit,Hoodwink
89,1,ESL One Malaysia 2022,Entity Gaming,radiant,24,WIN,36:38,Lycan,Faceless Void,Skywrath Mage,Sven,Batrider
89,2,ESL One Malaysia 2022,Fnatic,radiant,29,WIN,31:46,Razor,Alchemist,Nyx Assassin,Undying,Batrider
89,2,ESL One Malaysia 2022,Entity Gaming,dire,15,LOSE,31:46,Pudge,Oracle,Pangolier,Invoker,Tiny
89,3,ESL One Malaysia 2022,Fnatic,radiant,32,WIN,32:07,Alchemist,Razor,Nyx Assassin,Undying,Batrider
89,3,ESL One Malaysia 2022,Entity Gaming,dire,22,LOSE,32:07,Ursa,Pangolier,Oracle,Skywrath Mage,Legion Commander
90,1,DPC 2022 Summer Tour - South America Division 1,Hokori,radiant,33,WIN,42:36,Death Prophet,Witch Doctor,Sven,Enigma,Tiny
90,1,DPC 2022 Summer Tour - South America Division 1,Infinity Esports,dire,22,LOSE,42:36,Pangolier,Kunkka,Snapfire,Monkey King,Grimstroke
90,2,DPC 2022 Summer Tour - South America Division 1,Hokori,dire,33,WIN,31:13,Morphling,Kunkka,Marci,Dawnbreaker,Enchantress
90,2,DPC 2022 Summer Tour - South America Division 1,Infinity Esports,radiant,9,LOSE,31:13,Treant Protector,Tiny,Puck,Templar Assassin,Beastmaster
91,1,DPC 2022 Spring Tour - Western Europe Division 1,Gaimin Gladiators,radiant,20,WIN,27:34,Meepo,Mars,Keeper of the Light,Storm Spirit,Io
91,1,DPC 2022 Spring Tour - Western Europe Division 1,Team Secret,dire,6,LOSE,27:34,Anti-Mage,Queen of Pain,Nyx Assassin,Dragon Knight,Enchantress
91,2,DPC 2022 Spring Tour - Western Europe Division 1,Gaimin Gladiators,radiant,32,WIN,32:02,Chaos Knight,Weaver,Ember Spirit,Tidehunter,Io
91,2,DPC 2022 Spring Tour - Western Europe Division 1,Team Secret,dire,16,LOSE,32:02,Timbersaw,Huskar,Snapfire,Enchantress,Mars
92,1,DPC 2022 Summer Tour - Western Europe Division 1,Team Liquid,dire,44,WIN,45:27,Naga Siren,Void Spirit,Jakiro,Razor,Nyx Assassin
92,1,DPC 2022 Summer Tour - Western Europe Division 1,Entity Gaming,radiant,25,LOSE,45:27,Doom,Puck,Tiny,Enigma,Dawnbreaker
92,2,DPC 2022 Summer Tour - Western Europe Division 1,Team Liquid,dire,30,WIN,27:33,Magnus,Skywrath Mage,Vengeful Spirit,Bristleback,Tiny
92,2,DPC 2022 Summer Tour - Western Europe Division 1,Entity Gaming,radiant,7,LOSE,27:33,Bloodseeker,Batrider,Bane,Enigma,Dawnbreaker
93,1,PGL Dota 2 Major Arlington 2022,beastcoast,radiant,34,LOSE,49:21,Juggernaut,Venomancer,Earthshaker,Kunkka,Snapfire
93,1,PGL Dota 2 Major Arlington 2022,Natus Vincere,dire,46,WIN,49:21,Anti-Mage,Death Prophet,Winter Wyvern,Tiny,Puck
93,2,PGL Dota 2 Major Arlington 2022,beastcoast,radiant,11,LOSE,32:11,Windranger,Dazzle,Timbersaw,Bloodseeker,Tiny
93,2,PGL Dota 2 Major Arlington 2022,Natus Vincere,dire,38,WIN,32:11,Keeper of the Light,Monkey King,Chen,Razor,Marci
