MATCH_ID,MAP,TOURNAMENT,TEAM,SIDE,SCORE,RESULT,DURATION,HERO_1,HERO_2,HERO_3,HERO_4,HERO_5
1,1,ESL One Birmingham  2019,TNC Predator,dire,24.0,WIN,28:06,Wraith King,Sniper,Leshrac,Sand King,Chen
1,1,ESL One Birmingham  2019,Newbee,radiant,11.0,LOSE,28:06,Lifestealer,Oracle,Death Prophet,Lina,Mars
1,2,ESL One Birmingham  2019,TNC Predator,dire,11.0,LOSE,46:02,Templar Assassin,Terrorblade,Dark Seer,Tusk,Chen
1,2,ESL One Birmingham  2019,Newbee,radiant,35.0,WIN,46:02,Monkey King,Anti-Mage,Winter Wyvern,Jakiro,Sand King
2,1,ESL One Birmingham  2019,TNC Predator,radiant,33.0,WIN,22:07,Alchemist,Venomancer,Ember Spirit,Ancient Apparition,Earthshaker
2,1,ESL One Birmingham  2019,OG,dire,11.0,LOSE,22:07,Nature's Prophet,Spectre,Earth Spirit,Treant Protector,Crystal Maiden
2,2,ESL One Birmingham  2019,TNC Predator,radiant,17.0,LOSE,31:36,Templar Assassin,Leshrac,Wraith King,Witch Doctor,Sand King
2,2,ESL One Birmingham  2019,OG,dire,27.0,WIN,31:36,Pangolier,Grimstroke,Juggernaut,Beastmaster,Warlock
3,1,ESL One Birmingham  2019,TNC Predator,radiant,39.0,WIN,44:18,Queen of Pain,Sven,Warlock,Batrider,Sand King
3,1,ESL One Birmingham  2019,Ninjas in Pyjamas,dire,19.0,LOSE,44:18,Ember Spirit,Anti-Mage,Abaddon,Beastmaster,Zeus
3,2,ESL One Birmingham  2019,TNC Predator,radiant,28.0,WIN,31:58,Medusa,Bristleback,Batrider,Warlock,Nyx Assassin
3,2,ESL One Birmingham  2019,Ninjas in Pyjamas,dire,12.0,LOSE,31:58,Slark,Death Prophet,Oracle,Nature's Prophet,Sand King
4,1,ESL One Birmingham  2019,TNC Predator,radiant,23.0,LOSE,51:56,Pangolier,Spectre,Batrider,Earthshaker,Warlock
4,1,ESL One Birmingham  2019,Team Liquid,dire,35.0,WIN,51:56,Broodmother,Lycan,Abaddon,Rubick,Sand King
4,2,ESL One Birmingham  2019,TNC Predator,radiant,34.0,WIN,42:36,Storm Spirit,Troll Warlord,Batrider,Ancient Apparition,Rubick
4,2,ESL One Birmingham  2019,Team Liquid,dire,26.0,LOSE,42:36,Invoker,Omniknight,Nyx Assassin,Lycan,Sand King
5,1,ESL One Birmingham  2019,TNC Predator,dire,20.0,LOSE,39:16,Zeus,Ember Spirit,Oracle,Medusa,Sand King
5,1,ESL One Birmingham  2019,Vici Gaming,radiant,32.0,WIN,39:16,Spectre,Sniper,Centaur Warrunner,Disruptor,Rubick
5,2,ESL One Birmingham  2019,TNC Predator,radiant,27.0,WIN,31:51,Outworld Devourer,Wraith King,Nature's Prophet,Ancient Apparition,Sand King
5,2,ESL One Birmingham  2019,Vici Gaming,dire,15.0,LOSE,31:51,Storm Spirit,Troll Warlord,Pangolier,Oracle,Mars
6,1,ESL One Birmingham  2019,Newbee,dire,34.0,LOSE,53:20,Ursa,Medusa,Puck,Grimstroke,Sand King
6,1,ESL One Birmingham  2019,OG,radiant,46.0,WIN,53:20,Pangolier,Abaddon,Morphling,Lina,Earth Spirit
6,2,ESL One Birmingham  2019,Newbee,radiant,4.0,LOSE,14:07,Puck,Morphling,Earthshaker,Death Prophet,Winter Wyvern
6,2,ESL One Birmingham  2019,OG,dire,13.0,WIN,14:07,Phantom Lancer,Dark Seer,Ember Spirit,Earth Spirit,Chen
7,1,ESL One Birmingham  2019,Newbee,dire,19.0,LOSE,35:29,Slark,Ember Spirit,Dark Seer,Jakiro,Earth Spirit
7,1,ESL One Birmingham  2019,Ninjas in Pyjamas,radiant,34.0,WIN,35:29,Omniknight,Batrider,Sven,Nyx Assassin,Warlock
7,2,ESL One Birmingham  2019,Newbee,radiant,21.0,LOSE,47:45,Storm Spirit,Necrophos,Drow Ranger,Earth Spirit,Nature's Prophet
7,2,ESL One Birmingham  2019,Ninjas in Pyjamas,dire,31.0,WIN,47:45,Zeus,Night Stalker,Tiny,Troll Warlord,Warlock
8,1,ESL One Birmingham  2019,Newbee,radiant,18.0,LOSE,31:56,Sniper,Earth Spirit,Troll Warlord,Pudge,Jakiro
8,1,ESL One Birmingham  2019,Team Liquid,dire,22.0,WIN,31:56,Drow Ranger,Outworld Devourer,Oracle,Beastmaster,Shadow Shaman
8,2,ESL One Birmingham  2019,Newbee,dire,32.0,WIN,30:50,Legion Commander,Kunkka,Morphling,Earth Spirit,Warlock
8,2,ESL One Birmingham  2019,Team Liquid,radiant,12.0,LOSE,30:50,Timbersaw,Anti-Mage,Nature's Prophet,Mars,Shadow Shaman
9,1,ESL One Birmingham  2019,Newbee,radiant,35.0,LOSE,60:31,Kunkka,Pangolier,Morphling,Lina,Treant Protector
9,1,ESL One Birmingham  2019,Vici Gaming,dire,37.0,WIN,60:31,Invoker,Ember Spirit,Ancient Apparition,Keeper of the Light,Mars
9,2,ESL One Birmingham  2019,Newbee,radiant,25.0,LOSE,38:14,Leshrac,Brewmaster,Ember Spirit,Rubick,Oracle
9,2,ESL One Birmingham  2019,Vici Gaming,dire,26.0,WIN,38:14,Meepo,Wraith King,Omniknight,Crystal Maiden,Batrider
10,1,ESL One Birmingham  2019,OG,radiant,18.0,LOSE,38:26,Arc Warden,Legion Commander,Keeper of the Light,Crystal Maiden,Troll Warlord
10,1,ESL One Birmingham  2019,Ninjas in Pyjamas,dire,39.0,WIN,38:26,Spectre,Zeus,Lina,Sand King,Chen
10,2,ESL One Birmingham  2019,OG,radiant,33.0,WIN,27:20,Storm Spirit,Lifestealer,Nature's Prophet,Crystal Maiden,Sand King
10,2,ESL One Birmingham  2019,Ninjas in Pyjamas,dire,14.0,LOSE,27:20,Enigma,Templar Assassin,Spectre,Oracle,Earthshaker
11,1,ESL One Birmingham  2019,OG,radiant,8.0,LOSE,28:34,Nyx Assassin,Anti-Mage,Grimstroke,Morphling,Abaddon
11,1,ESL One Birmingham  2019,Team Liquid,dire,34.0,WIN,28:34,Meepo,Sand King,Ancient Apparition,Earth Spirit,Razor
11,2,ESL One Birmingham  2019,OG,radiant,22.0,WIN,34:02,Zeus,Nyx Assassin,Warlock,Magnus,Troll Warlord
11,2,ESL One Birmingham  2019,Team Liquid,dire,25.0,LOSE,34:02,Sven,Outworld Devourer,Crystal Maiden,Earth Spirit,Earthshaker
12,1,ESL One Birmingham  2019,OG,radiant,7.0,LOSE,24:51,Phantom Lancer,Disruptor,Pangolier,Oracle,Magnus
12,1,ESL One Birmingham  2019,Vici Gaming,dire,33.0,WIN,24:51,Bloodseeker,Morphling,Shadow Shaman,Doom,Grimstroke
12,2,ESL One Birmingham  2019,OG,dire,23.0,LOSE,43:23,Monkey King,Omniknight,Ember Spirit,Leshrac,Earthshaker
12,2,ESL One Birmingham  2019,Vici Gaming,radiant,49.0,WIN,43:23,Templar Assassin,Morphling,Silencer,Zeus,Sand King
13,1,ESL One Birmingham  2019,Ninjas in Pyjamas,dire,25.0,LOSE,40:11,Ember Spirit,Dark Seer,Treant Protector,Luna,Io
13,1,ESL One Birmingham  2019,Team Liquid,radiant,20.0,WIN,40:11,Lone Druid,Beastmaster,Troll Warlord,Earthshaker,Chen
13,2,ESL One Birmingham  2019,Ninjas in Pyjamas,radiant,54.0,WIN,51:58,Monkey King,Night Stalker,Rubick,Troll Warlord,Abaddon
13,2,ESL One Birmingham  2019,Team Liquid,dire,16.0,LOSE,51:58,Mars,Morphling,Nature's Prophet,Dark Seer,Nyx Assassin
14,1,ESL One Birmingham  2019,Ninjas in Pyjamas,radiant,21.0,LOSE,44:48,Monkey King,Doom,Ogre Magi,Troll Warlord,Shadow Shaman
14,1,ESL One Birmingham  2019,Vici Gaming,dire,43.0,WIN,44:48,Sven,Death Prophet,Dark Seer,Disruptor,Nyx Assassin
14,2,ESL One Birmingham  2019,Ninjas in Pyjamas,dire,16.0,LOSE,30:09,Phantom Lancer,Monkey King,Puck,Abaddon,Sand King
14,2,ESL One Birmingham  2019,Vici Gaming,radiant,36.0,WIN,30:09,Spectre,Templar Assassin,Witch Doctor,Zeus,Wraith King
15,1,ESL One Birmingham  2019,Team Liquid,radiant,10.0,LOSE,22:08,Dazzle,Phantom Assassin,Phoenix,Earthshaker,Chen
15,1,ESL One Birmingham  2019,Vici Gaming,dire,23.0,WIN,22:08,Mars,Templar Assassin,Lion,Gyrocopter,Io
15,2,ESL One Birmingham  2019,Team Liquid,radiant,38.0,WIN,49:13,Arc Warden,Troll Warlord,Earthshaker,Nature's Prophet,Shadow Shaman
15,2,ESL One Birmingham  2019,Vici Gaming,dire,40.0,LOSE,49:13,Lina,Mars,Sven,Warlock,Nyx Assassin
16,1,ESL One Birmingham  2019,Gambit Esports,dire,31.0,WIN,48:20,Night Stalker,Morphling,Rubick,Lone Druid,Chen
16,1,ESL One Birmingham  2019,Alliance,radiant,16.0,LOSE,48:20,Phantom Lancer,Necrophos,Lion,Mars,Io
16,2,ESL One Birmingham  2019,Gambit Esports,radiant,36.0,WIN,31:01,Shadow Fiend,Wraith King,Bane,Centaur Warrunner,Winter Wyvern
16,2,ESL One Birmingham  2019,Alliance,dire,12.0,LOSE,31:01,Ember Spirit,Necrophos,Earth Spirit,Oracle,Troll Warlord
17,1,ESL One Birmingham  2019,Gambit Esports,radiant,27.0,WIN,34:21,Shadow Fiend,Bane,Sven,Grimstroke,Centaur Warrunner
17,1,ESL One Birmingham  2019,Keen Gaming,dire,15.0,LOSE,34:21,Razor,Tidehunter,Gyrocopter,Nyx Assassin,Io
17,2,ESL One Birmingham  2019,Gambit Esports,dire,18.0,WIN,19:44,Templar Assassin,Batrider,Earth Spirit,Wraith King,Chen
